taxon,description
Eucalyptus grandis,"

 Trees, to 55 m; trunk white, grayish white, or bluish gray, smooth; bark sparse, rough and flaky at trunk base. Leaves: petiole 1–2.2 cm; blade grayish green or yellow-green, lighter abaxially, lanceolate to elliptic, often falcate, 9.5–16 × 2–5 cm. Peduncles 1–1.5 cm, 3–4 mm wide apically. Inflorescences 7–11-flowered, umbels. Flowers: hypanthium obconic or campanulate, 3–4 mm, length only slightly greater than calyptra; calyptra conic or slightly rostrate, 3–4 mm; stamens white. Capsules subpyriform, 5–8 mm, not glaucous; valves 4 or 5, exserted, incurved. 2n = 22."
Eucalyptus grandis,"

Trees, large. Bark at base of trunk rough and flaky, apically silvery white, smooth, and gradually exfoliating. Branchlets grayish white, ridged. Young leaves shortly petiolate; leaf blade broadly lanceolate to ovate, thinly leathery. Mature leaves with a ca. 2 cm petiole; leaf blade lanceolate, 13-20 × 2-2.5 cm, both surfaces with small glands, adaxially dark green and slightly glossy, secondary veins at an angle of 60°-70° from midvein. Inflorescences axillary, simple, umbels 3-10-flowered; peduncle 1-1.5 cm, compressed. Flower buds narrowly obovate, 8-10 × ca. 5 mm. Hypanthium obconic to campanulate; stipe 0-3 mm; calyptra semiglobose to conic, as long or slightly shorter than hypanthium, apex acute to apiculate. Stamens 8-10 mm; anthers oblong, nearly basifixed, dehiscing longitudinally, glands abaxial. Style shorter than stamens. Capsule gray, pyriform to awl-shaped, 7-8 × 6-8 mm; disk narrow; valves 4 or 5(or 6), exserted from hypanthium. Fl. winter-spring."
Salix viminalis,"A shrub, 1.5-3(-10) m, with long straight flexible branches. Twigs densely pubescent, becoming glabrous later, not striate under the bark. Buds ovoid-oblong, acuminate, pubescent.  Lvs 10-25 cm, (4.5-)7-18 x as long as broad, lanceolate to linear-lanceolate, gradually narrowed to apex, cuneate, dark-green and glabrous above, silvery silky-tomentose beneath; margins undulate, revolute when young, entire or nearly so; petiole 4-12 mm; stipules small, linear-lanceolate, usually caducous. Catkins appearing before the lvs (or female with lvs), subsessile, with or without a few small lvs at base, dense; male 2.5-4 cm, ovoid-oblong; female cylindric, to 6 mm in fr. Scales blackish at apex, ovate-oblong, pilose. Nectaries long, linear. Stamens 2, free; anthers yellow, filaments glabrous. Style very long, entire, rarely bifid.   Fr a capsule, ovoid conic, silky-tomentose, ± sessile. "
Elaeagnus angustifolia,"

 Shrubs or trees, 5–10(–12) m, not clonal. Stems usually armed, with thornlike lateral branches, densely silvery-scaly when young, scales reddish brown in age, glabrate. Leaves deciduous (often tardily); blade lanceolate-linear to narrowly elliptic, 3–8(–10) × 0.5–1.5 cm, length 3–8 times width, surfaces silvery and densely stellate-hairy. Flowers solitary or 2 or 3 in clusters; hypanthium funnelform, 3.5–6 mm distal to constriction; calyx silver-green abaxially, yellow adaxially, 3–5 mm; nectary disc conspicuous, forming thick cylinders around styles. Fruits pale green, ovoid or ellipsoid, (8–)10–15(–20) mm, densely white-scaly and succulent, becoming dull orange-yellow and dry in age. 2n = 24, 28."
Elaeagnus angustifolia,"

Shrubs or small trees, 3-7(-10) m tall. Bark reddish brown; spines absent or sharp, 0.7-3 cm; young branches and both leaf surfaces silvery white, densely stellate-scaly, or adaxially grayish green or green and nearly without scales (var. virescens). Petiole 5-8 mm, 1/5-1/4 as long as blade; leaf blade oblong-lanceolate to linear-lanceolate, sometimes elliptic-lanceolate, ovate, or oblong-ovate, (2.5-)4-8(-10) × 0.4-3.2(-4) cm, adaxially dull green, or both surfaces silvery, with only white scales, base usually broadly cuneate, apex obtuse or subacute. Flowers 1-3 in axils of older leaves. Pedicel short, ca. 2 mm. Flowers fragrant, outside silvery white, with dense white scales and sparse small yellowish glands, inside yellow. Calyx tube campanulate or broadly campanulate (f. culta), ca. as long as limb, 5-6 × 2.5-3(-5) mm; lobes lanceolate, ovate, or triangular-lanceolate, slightly shorter than tube, inside yellow and glabrous, with sparse small brownish glands, distinctly 3-veined, apex ± acute. Filaments short; anthers oblong. Style base enclosed by tubular disk, curved in upper part, ca. as long as calyx. Drupe yellowish brown, globose-ovoid, globose, or subglobose (var. caspica), 0.7-2.5 × 0.5-1.3 cm, densely silvery scaly when young, subglabrous when mature; scales sparse, brownish; flesh sweet, mealy; stone oblong, oblong-ovoid, or narrowly cylindric (f. culta), both ends obtuse or pointed. Fl. May-Jun, fr. Aug-Oct. 2n = 28."
Hevea brasiliensis,"

Large trees, up to 30 m tall, with much milky juice. Petiole 5-15 cm, apex usually with 2(-4) glands; leaflets 3, elliptic, 10-25 × 4-10 cm, both surfaces glabrous, base cuneate, margin entire, apex acute to acuminate; lateral veins 10-16, reticulate veins prominent. Panicles axillary, to 16 cm, gray-white pubescent. Male flowers: sepals ovate-lanceolate, ca. 2 mm; stamens 10, in 2 series; anthers 2-locular, longitudinally dehiscent. Female flowers: sepals as in male, but larger; ovary (2 or)3(-6)-locular; stigmas 3, sessile. Capsules ellipsoidal, 5-6 cm in diam., with 3 longitudinal grooves, apex rostrate, base retuse; epicarp thinner, with reticulate stripes; endocarp thicker, woody. Seeds ellipsoidal, gray-brownish, maculate-striate. Fl. May-Jun, fr. Aug-Sep."
Citrus medica,"

Shrubs or small trees. Branches, leaf buds, and flower buds purplish when young. Branches with ca. 4 cm spines. Leaves simple or rarely 1-foliolate; petiole short, not winged; leaf blade elliptic to ovate-elliptic, 6-12 × 3-6 cm or larger, margin serrate, apex rounded, obtuse, or rarely mucronate. Inflorescences axillary, ca. 12-flowered or sometimes flowers solitary. Flowers bisexual or sometimes male by ± complete abortion of pistil. Petals 5, 1.5-2 cm. Stamens 30-50. Ovary cylindric; style long and thick; stigma clavate. Fruit pale yellow, elliptic to subglobose, to 2 kg, surface coarse; pericarp white to pale yellow and soft within, thicker than sarcocarp, removed with difficulty; sarcocarp with 10-15 segments, colorless, nearly pellucid to pale milky yellow, acidic to slightly sweet, fragrant. Seeds small; seed coat smooth; embryo(s) solitary to several; cotyledons milky white. Fl. Apr-May, fr. Oct-Nov. 2n = 18, 20."
Fimbristylis littoralis,"

Annuals or short-lived perennials. Rhizomes absent. Culms tufted, (1.5-)10-60 cm tall, flatly 4-angled, striate, bearing 1-3 bladeless sheaths at base. Basal leaf sheaths (1.5-)3.5-9 cm, sometimes setaceous, compressed bilaterally, attenuate apically, mouth obliquely split. Leaves shorter to longer than culm; sheath bilaterally compressed, abaxially with a membranous and rust-colored margin, adaxially keeled, mouth obliquely split; ligule absent; leaf blade ensiform, (1-)1.5-2 mm wide, bilaterally compressed, margin sparsely and finely serrulate, apically attenuate into a setaceous tip. Involucral bracts 2-4, setaceous, base dilated, margin rust-colored and membranous. Inflorescence a compound, decompound, or rarely simple anthela, subdense, with many spikelets; rays 3-6, 0.8-5 cm, slender, scabrid. Spikelets solitary, globose to subglobose, 1.5-5 × 1.5-3 mm, apex rounded. Glumes chestnut-brown or dark brown, ovate, 1-1.3 or 3.5-6 mm, membranous, 3-veined forming an abaxial keel, midvein green, lateral veins brown, apex obtuse. Stamens 2; anthers oblong, ca. 0.7 mm, ca. 1/2 as long as filaments, apex obtuse. Style 3-sided, not ciliate, basally slightly inflated; stigmas 3, ca. 1/2 as long as style. Nutlet straw-yellow, obovoid to broadly obovoid, ca. 1 mm, obtusely 3-sided, verruculose with transversely oblong reticulation. Fl. and fr. May-Oct."
Ranunculus aquatilis,"Tufted annual or perennial herb; stems with branches submerged  and finely dissected; submerged lvs 3-6(-8) cm, shorter than the stem internodes, their segments not lying in one plane, rigid or collapsing; floating lvs subcircular, ±  deeply lobed or cut into cuneate, usually straight sided and often dentate segments with acute basal sinus; transitional leaves between submerged and floating types often present; floating lvs sometimes 0. Fls 12-18 mm dian. Sepals not reflexed. Petals usually 5-10 mm, persistent, contiguous at anthesis; nectaries circular. Stamens 13 or more, exceeding the head of carpels. Receptacle pubescent. Fr. stalk 2-5 cm, rarely longer and usually shorter than the stalk of the opposed lf, not or slighty tapering, recurved below. Achenes 1-5 - 3 mm, ± usually distinctly pubescent (at least when immature) shortly beaked."
Ranunculus aquatilis,"

Stems  glabrous.  Leaves  laminate and filiform-dissected; laminate leaf blades reniform, 3-parted, 0.4-1.1 × 0.7-2.3 cm, segments obovate or fan-shaped, shallowly cleft, margins crenate; filiform-dissected leaves with stipules gradually tapering upward, connate for their whole length.  Flowers:  receptacle hispid, rarely glabrous; sepals spreading or reflexed, 2-4 × 1-2 mm, glabrous; petals 5, 4-7 × 1-5 mm; style 0.1-0.8 mm.  Fruiting pedicels  usually recurved.  Heads of achenes  hemispheric to ovoid, 2-4 × 2-5 mm; achenes 1-2 × 0.8-1.4 mm, glabrous or hispid; beak persistent, filiform, 0.1-1.2 mm.


Ranunculus aquatilis is very variable. In the past it has often been treated as three or four species and many varieties. These segregate taxa have been based on the size, petiolation and rigidity of the leaves (now known to be primarily under environmental control), petal size and curvature of the fruiting pedicel (both sometimes variable along single stem), and number of achenes per head and length of achene beak (which vary continuously and are not correlated with one another). Unless reliable characters can be found, only two of the taxa recognized in older floras can be maintained."
Fimbristylis dichotoma,"

Plants perennial, cespitose, (10–) 20–80 cm, base thickened, not bulbous; rhizomes absent.  Leaves nearly distichous, spreading to ascending, 1/2 length of culms; sheaths distally ciliate, backs mostly glabrous; ligule line of short hairs; blades narrowly linear, 2–3 mm wide, flat to broadly involute, scabrid ciliate, adaxially smooth or hirtellous.  Inflorescences: anthelae compound, dense or open, ascending-branched, longer than broad; scapes slender, 1 mm wide, slightly compressed distally; proximalmost involucral bract exceeding anthela.  Spikelets pale drab brown to chestnut brown, ovoid-lanceoloid, 4–8 mm; fertile scales broadly oblong or ovate, 2 mm, acute to obtuse angled, glabrous, midrib reaching scale tip or excurrent, finely mucronate.  Flowers: stamens 1–2; styles 2-fid, flat, fimbriate.  Achenes white to brownish, lenticular, obovoid, 1–1.2 mm, cancellate, each face longitudinally with (5–)10–12 ribs, connected by vertical rows of horizontally rectangular pits.  2n = 20, 30."
Fimbristylis dichotoma,"

Annuals or short-lived perennials. Culms tufted, 5-50(-100) cm tall, glabrous or sparsely pubescent. Leaves slightly shorter to longer than culm; sheaths leathery, margin pale brown, broad, and membranous, apex subtruncate; leaf blade linear to setaceous, pubescent or glabrescent, apex acute to obtuse. Involucral bracts 3 or 4, leaflike, usually 1 or 2 longer than inflorescence, glabrous or hairy. Inflorescence a compound or rarely simple anthela, 5-9 × 3-6 cm, lax or compact. Spikelets solitary, ovoid, ellipsoid, or oblong, 4.5-14 × ca. 2.5 mm, many flowered. Glumes brown, ovate, oblong-ovate, or oblong, 2.2-4.2 mm for fertile ones, shiny, 3-5-veined, midvein excurrent into a mucro. Stamens 1 or 2; filament short. Style longer than stamen, compressed, apically ciliate; stigmas 2. Nutlet with brown stipe, obovoid to broadly so, globose, or ± obdeltoid, 0.6-1.3 mm, biconvex, with 7-9 obvious vertical ribs, reticulation nearly transversely oblong. Fl. and fr. Jul-Oct."
Fimbristylis dichotoma,"

Greyish green, caespitose perennial, 30-60 cm. Stem 0.7-1.2 mm diam., deeply grooved, glabrous. Leaves to c. half of stem length; sheaths open, scarious side slightly villose, mouth margin ciliate; ligule a dense fringe of hairs; blades 1-3 mm wide, flat, sometimes slightly incurved, midrib not prominent, margins scabrous, esp. towards apex. Inflorescence 2-6 cm diam., with 6-50, mostly solitary, occasionally geminate spikes; lowest bract leaf-like, as long as or longer than inflorescence. Spikes 4.5-8 x 2.5-3.5 mm, ovoid, terete, acute, light brown to brown; glumes coriaceous, widely ovate, occasionally slightly keeled, apiculate, apical parts glabrous, brown; rachis castaneous, narrowly winged. Stamens 1; filaments more than 2 mm long, c. 0.2 mm wide, flat, colourless; anthers c. 0.8 mm, connective tip mucronate; style c. 1 x 0.2 mm, deciduous, flat, brown, margins colourless, ciliate; stigmas 2, c. 0.5 mm, flat, basal parts ciliate. Nut 1-1.2 x c. 0.8 mm, lenticular, trabeculate, yellowish, sometimes whitish."
Hydrilla verticillata,"A slender branched pale green, submerged aquatic herb perennating by means of turions. Lvs c 10 x 2 mm, 3-5 in a whorl or the lower opposite, linear-lanceolate, acuminate, translucent, margins with small projecting teeth. A pair of small brownish fringed scales appear on the upper surface of the lf towards the base. Fls not recorded from Britain. "
Hydrilla verticillata,"

Rhizomes and erect stems with turions; subterranean turions cream-brown, appearing as tubers, surface smooth; turions from erect stems olive-green, covered with short, stiff scales. Leaves 8--15(--20) ´ 1.2--4 mm, margins serrulate. Inflorescences: spathe of 2 connate bracts. Flowers 1 per spathe; staminate pedicels 0.5 mm; pistillate flowers with floral tube 10--50 mm; ovary 1-locular. 2n = 32.

Hydrilla verticillata is widely distributed in the Eastern Hemisphere but it is uncertain as to where it is truly native. It grows in a variety of aquatic habitats ranging from acidic to basic, oligotrophic to eutrophic, fresh to brackish, and from a few centimeters to a meter or more if light penetrates that deeply. Growth and spread often are rapid. Stem fragments become rooted by fine, unbranched adventitious roots and soon produce vegetative reproductive structures from both subterranean and erect stems. Tubers produced on subterranean stems are pale brown; those produced on erect stems are dark olive-green and covered with short, stiff scales. Both types germinate quickly to produce new stems."
